phase,seed,random_reward,random_goal_rate,random_proxy_action_rate,random_causal_action_rate
acquisition,0,0.094667,0.116667,0.260833,0.2525
reversal,0,0.136333,0.158333,0.263333,0.245833
extinction,0,0.086333,0.108333,0.245833,0.2525
acquisition,1,0.061333,0.083333,0.273333,0.261667
reversal,1,0.128,0.15,0.256667,0.251667
extinction,1,0.136333,0.158333,0.25,0.2425
acquisition,2,0.061333,0.083333,0.244167,0.2725
reversal,2,0.094667,0.116667,0.228333,0.271667
extinction,2,0.136333,0.158333,0.263333,0.24
acquisition,3,0.086333,0.108333,0.259167,0.220833
reversal,3,0.136333,0.158333,0.246667,0.261667
extinction,3,0.061333,0.083333,0.274167,0.236667
acquisition,4,0.036333,0.058333,0.24,0.241667
reversal,4,0.111333,0.133333,0.235833,0.245
extinction,4,0.078,0.1,0.230833,0.255833
acquisition,5,0.086333,0.108333,0.256667,0.253333
reversal,5,0.136333,0.158333,0.245833,0.260833
extinction,5,0.086333,0.108333,0.255,0.250833
acquisition,6,0.111333,0.133333,0.231667,0.2475
reversal,6,0.069667,0.091667,0.239167,0.268333
extinction,6,0.128,0.15,0.253333,0.24
acquisition,7,0.078,0.1,0.261667,0.249167
reversal,7,0.153,0.175,0.2425,0.2625
extinction,7,0.194667,0.216667,0.241667,0.275
acquisition,8,0.103,0.125,0.238333,0.26
reversal,8,0.128,0.15,0.245,0.258333
extinction,8,0.111333,0.133333,0.235833,0.225833
acquisition,9,0.136333,0.158333,0.265,0.253333
reversal,9,0.069667,0.091667,0.26,0.238333
extinction,9,0.086333,0.108333,0.255,0.253333
