agent_type,seed,acquisition_proxy_dependence_final,reversal_proxy_dependence_initial,reversal_proxy_dependence_final,extinction_proxy_dependence_initial,extinction_proxy_dependence_final,reversal_adaptation_half_life,extinction_half_life,superstition_persistence_index
tabular_sarsa,0,-0.197069,0.101292,-0.00838,-0.03635,-0.413758,400,1000,0.608914
tabular_sarsa,1,-0.204117,-0.200717,-0.002133,-0.003672,-0.395747,100,-1,0.408318
tabular_sarsa,2,0.102857,0.121617,-0.003712,0.008434,-0.300751,100,-1,1.063351
tabular_sarsa,3,0.11356,0.098349,-0.094921,-0.105011,-0.09673,500,200,1.09591
tabular_sarsa,4,0.105839,0.100946,0.206544,0.30489,0.191676,200,300,2.001823
tabular_sarsa,5,-0.008159,0.195253,-0.194379,-0.200348,0.17049,-1,100,11.74763
tabular_sarsa,6,0.20692,0.21336,-0.098627,-0.12362,0.011278,200,200,0.597669
tabular_sarsa,7,-0.010645,0.099592,-0.098346,-0.188409,-0.298073,600,500,15.536535
tabular_sarsa,8,-0.19828,-0.195004,0.094426,0.087882,0.199797,800,-1,1.201554
tabular_sarsa,9,0.409949,0.493827,0.185559,0.195,0.007203,100,800,0.629101
dqn,0,0.794833,0.79966,-0.897674,-0.804089,-0.516637,500,-1,0.778193
dqn,1,0.896272,0.895639,-1.0,-1.0,-0.611015,400,-1,0.705329
dqn,2,1.0,1.0,-0.705167,-0.70297,-0.615385,300,-1,0.629416
dqn,3,0.899851,0.902685,-1.0,-1.0,-0.817875,500,1100,0.803893
dqn,4,0.695255,0.706625,-0.708266,-0.718802,-0.599676,700,-1,0.845254
dqn,5,0.697194,0.692953,-1.0,-1.0,-0.692308,700,600,1.015489
dqn,6,0.792096,0.801444,-0.698198,-0.700168,-0.790102,600,-1,0.77491
dqn,7,0.798658,0.800314,-1.0,-1.0,-0.896373,600,700,0.895782
dqn,8,1.0,1.0,-1.0,-1.0,-0.787456,400,-1,0.75104
dqn,9,0.903945,0.896605,-0.804538,-0.818333,-0.903061,400,-1,0.683638
