condition,agent_type,metric,learned_mean,random_mean,learned_minus_random
no_proxy,memoryless_agent,reward,0.479933,0.1042,0.375733
no_proxy,memoryless_agent,goal_rate,0.501933,0.1262,0.375733
no_proxy,memoryless_agent,proxy_action_rate,0.2393,0.251833,-0.012533
no_proxy,memoryless_agent,causal_action_rate,0.275313,0.248613,0.0267
no_proxy,memory_agent,reward,0.479933,0.1042,0.375733
no_proxy,memory_agent,goal_rate,0.501933,0.1262,0.375733
no_proxy,memory_agent,proxy_action_rate,0.25434,0.251833,0.002507
no_proxy,memory_agent,causal_action_rate,0.25046,0.248613,0.001847
weak_proxy,memoryless_agent,reward,0.479933,0.1042,0.375733
weak_proxy,memoryless_agent,goal_rate,0.501933,0.1262,0.375733
weak_proxy,memoryless_agent,proxy_action_rate,0.22806,0.251833,-0.023773
weak_proxy,memoryless_agent,causal_action_rate,0.287407,0.248613,0.038793
weak_proxy,memory_agent,reward,0.479933,0.1042,0.375733
weak_proxy,memory_agent,goal_rate,0.501933,0.1262,0.375733
weak_proxy,memory_agent,proxy_action_rate,0.260487,0.251833,0.008653
weak_proxy,memory_agent,causal_action_rate,0.237307,0.248613,-0.011307
medium_proxy,memoryless_agent,reward,0.479933,0.1042,0.375733
medium_proxy,memoryless_agent,goal_rate,0.501933,0.1262,0.375733
medium_proxy,memoryless_agent,proxy_action_rate,0.274733,0.251833,0.0229
medium_proxy,memoryless_agent,causal_action_rate,0.23718,0.248613,-0.011433
medium_proxy,memory_agent,reward,0.479933,0.1042,0.375733
medium_proxy,memory_agent,goal_rate,0.501933,0.1262,0.375733
medium_proxy,memory_agent,proxy_action_rate,0.25706,0.251833,0.005227
medium_proxy,memory_agent,causal_action_rate,0.246687,0.248613,-0.001927
strong_proxy,memoryless_agent,reward,0.479933,0.1042,0.375733
strong_proxy,memoryless_agent,goal_rate,0.501933,0.1262,0.375733
strong_proxy,memoryless_agent,proxy_action_rate,0.235627,0.251833,-0.016207
strong_proxy,memoryless_agent,causal_action_rate,0.275273,0.248613,0.02666
strong_proxy,memory_agent,reward,0.404533,0.1042,0.300333
strong_proxy,memory_agent,goal_rate,0.426533,0.1262,0.300333
strong_proxy,memory_agent,proxy_action_rate,0.270327,0.251833,0.018493
strong_proxy,memory_agent,causal_action_rate,0.2414,0.248613,-0.007213
