agent_type,eval_mode,metric,strong_minus_none,ci95,t_stat,p_value_normal
memoryless_agent,training_distribution_eval,proxy_action_rate,-0.002867,0.044218,-0.127067,0.898887
memoryless_agent,training_distribution_eval,proxy_Q_advantage,0.001484,0.006436,0.452088,0.651206
memoryless_agent,training_distribution_eval,proxy_action_dependence,-0.075909,0.089243,-1.66714,0.095486
memoryless_agent,training_distribution_eval,SPI,-0.00058,0.046966,-0.024205,0.980689
memoryless_agent,training_distribution_eval,reward,0.0,0.009523,0.0,1.0
memoryless_agent,training_distribution_eval,goal_rate,0.0,0.009523,0.0,1.0
memoryless_agent,training_distribution_eval,proxy_dependence,0.085844,0.105707,1.59169,0.111454
memoryless_agent,decorrelated_eval,proxy_action_rate,-0.003673,0.044712,-0.161024,0.872075
memoryless_agent,decorrelated_eval,proxy_Q_advantage,0.001279,0.006495,0.385841,0.699615
memoryless_agent,decorrelated_eval,proxy_action_dependence,-0.076879,0.088418,-1.704203,0.088343
memoryless_agent,decorrelated_eval,SPI,4e-05,0.046924,0.001671,0.998667
memoryless_agent,decorrelated_eval,reward,0.0,0.009523,0.0,1.0
memoryless_agent,decorrelated_eval,goal_rate,0.0,0.009523,0.0,1.0
memoryless_agent,decorrelated_eval,proxy_dependence,0.085082,0.105173,1.585591,0.112832
memory_agent,training_distribution_eval,proxy_action_rate,0.02018,0.034626,1.142287,0.253335
memory_agent,training_distribution_eval,proxy_Q_advantage,-0.000302,0.004706,-0.125724,0.899951
memory_agent,training_distribution_eval,proxy_action_dependence,0.018727,0.086511,0.424277,0.671363
memory_agent,training_distribution_eval,SPI,0.000573,0.040819,0.02753,0.978037
memory_agent,training_distribution_eval,reward,-0.000867,0.00953,-0.178237,0.858537
memory_agent,training_distribution_eval,goal_rate,-0.000867,0.00953,-0.178237,0.858537
memory_agent,training_distribution_eval,proxy_dependence,0.015936,0.074101,0.421516,0.673379
memory_agent,decorrelated_eval,proxy_action_rate,0.015987,0.031097,1.007609,0.313642
memory_agent,decorrelated_eval,proxy_Q_advantage,-0.001909,0.006666,-0.561397,0.574527
memory_agent,decorrelated_eval,proxy_action_dependence,0.00663,0.075709,0.171641,0.86372
memory_agent,decorrelated_eval,SPI,0.00906,0.033,0.538106,0.590504
memory_agent,decorrelated_eval,reward,-0.0754,0.016514,-8.948817,0.0
memory_agent,decorrelated_eval,goal_rate,-0.0754,0.016514,-8.948817,0.0
memory_agent,decorrelated_eval,proxy_dependence,-0.020543,0.067669,-0.595015,0.551834
