agent_type,eval_mode,metric,slope,slope_ci95,standardized_effect,t_stat,p_value_normal
memoryless_agent,training_distribution_eval,proxy_action_rate,0.012542,0.050938,0.044383,0.482603,0.629378
memoryless_agent,training_distribution_eval,proxy_Q_advantage,0.003195,0.00727,0.079055,0.861454,0.388988
memoryless_agent,training_distribution_eval,proxy_action_dependence,-0.06921,0.087935,-0.140601,-1.542642,0.122918
memoryless_agent,training_distribution_eval,SPI,0.016069,0.055494,0.052175,0.56754,0.570348
memoryless_agent,training_distribution_eval,reward,0.0,0.009952,0.0,0.0,1.0
memoryless_agent,training_distribution_eval,goal_rate,-0.0,0.009952,-0.0,-0.0,1.0
memoryless_agent,training_distribution_eval,proxy_dependence,0.106178,0.109315,0.172623,1.903747,0.056943
memoryless_agent,decorrelated_eval,proxy_action_rate,0.011884,0.050947,0.042052,0.457209,0.647521
memoryless_agent,decorrelated_eval,proxy_Q_advantage,0.002976,0.007298,0.073371,0.799167,0.424194
memoryless_agent,decorrelated_eval,proxy_action_dependence,-0.069665,0.08758,-0.142068,-1.559068,0.11898
memoryless_agent,decorrelated_eval,SPI,0.016782,0.055377,0.0546,0.59399,0.552519
memoryless_agent,decorrelated_eval,reward,0.0,0.009952,0.0,0.0,1.0
memoryless_agent,decorrelated_eval,goal_rate,-0.0,0.009952,-0.0,-0.0,1.0
memoryless_agent,decorrelated_eval,proxy_dependence,0.105199,0.109389,0.170966,1.884916,0.059441
memory_agent,training_distribution_eval,proxy_action_rate,0.018418,0.040795,0.081192,0.884889,0.376217
memory_agent,training_distribution_eval,proxy_Q_advantage,-0.000916,0.005352,-0.030877,-0.335572,0.737194
memory_agent,training_distribution_eval,proxy_action_dependence,0.009564,0.077793,0.022177,0.240963,0.809584
memory_agent,training_distribution_eval,SPI,-0.003167,0.03967,-0.014402,-0.156458,0.875672
memory_agent,training_distribution_eval,reward,-0.000867,0.009957,-0.015703,-0.170598,0.86454
memory_agent,training_distribution_eval,goal_rate,-0.000867,0.009957,-0.015703,-0.170598,0.86454
memory_agent,training_distribution_eval,proxy_dependence,0.012029,0.083873,0.025869,0.281099,0.778634
memory_agent,decorrelated_eval,proxy_action_rate,0.014844,0.037524,0.071198,0.775371,0.438121
memory_agent,decorrelated_eval,proxy_Q_advantage,-0.00249,0.006439,-0.069603,-0.757916,0.448501
memory_agent,decorrelated_eval,proxy_action_dependence,-0.002033,0.070006,-0.005241,-0.056929,0.954602
memory_agent,decorrelated_eval,SPI,0.005933,0.035007,0.030567,0.332201,0.739738
memory_agent,decorrelated_eval,reward,-0.0754,0.01794,-0.604235,-8.237486,0.0
memory_agent,decorrelated_eval,goal_rate,-0.0754,0.01794,-0.604235,-8.237486,0.0
memory_agent,decorrelated_eval,proxy_dependence,-0.024314,0.07885,-0.055552,-0.604385,0.545588
