phase,seed,random_reward,random_goal_rate,random_proxy_action_rate,random_causal_action_rate
acquisition,0,0.098,0.12,0.259667,0.248
reversal,0,0.118,0.14,0.246667,0.259
extinction,0,0.101333,0.123333,0.252333,0.241333
acquisition,1,0.108,0.13,0.260333,0.255333
reversal,1,0.091333,0.113333,0.255,0.253333
extinction,1,0.098,0.12,0.253,0.247
acquisition,2,0.088,0.11,0.242,0.268333
reversal,2,0.111333,0.133333,0.239,0.242
extinction,2,0.088,0.11,0.241667,0.263667
acquisition,3,0.098,0.12,0.258,0.239667
reversal,3,0.088,0.11,0.248667,0.251
extinction,3,0.128,0.15,0.248667,0.235
acquisition,4,0.068,0.09,0.238667,0.245667
reversal,4,0.101333,0.123333,0.232,0.260333
extinction,4,0.111333,0.133333,0.243,0.252
acquisition,5,0.121333,0.143333,0.249333,0.257667
reversal,5,0.138,0.16,0.252,0.242667
extinction,5,0.068,0.09,0.257,0.253333
acquisition,6,0.108,0.13,0.24,0.255
reversal,6,0.114667,0.136667,0.238667,0.254333
extinction,6,0.118,0.14,0.248333,0.263
acquisition,7,0.131333,0.153333,0.253667,0.255333
reversal,7,0.124667,0.146667,0.248,0.266
extinction,7,0.128,0.15,0.255,0.247667
acquisition,8,0.098,0.12,0.245667,0.250667
reversal,8,0.104667,0.126667,0.232667,0.263333
extinction,8,0.091333,0.113333,0.247,0.262333
acquisition,9,0.111333,0.133333,0.263667,0.246333
reversal,9,0.101333,0.123333,0.252,0.252333
extinction,9,0.081333,0.103333,0.255333,0.25
