comparison,agent_or_contrast,metric,difference,ci95,t_stat,p_value_normal
acquisition,neural_dqn_vs_tabular_sarsa,reward,0.0,0.0,0.0,1.0
acquisition,neural_dqn_vs_tabular_sarsa,goal_rate,0.0,0.0,0.0,1.0
acquisition,neural_dqn_vs_tabular_sarsa,abs_proxy_dependence,0.017366,0.143825,0.236651,0.812928
acquisition,neural_dqn_vs_tabular_sarsa,proxy_dependence,-0.019184,0.149587,-0.251361,0.801535
acquisition,neural_dqn_vs_tabular_sarsa,proxy_action_rate,0.020333,0.184124,0.216448,0.828639
acquisition,neural_dqn_vs_tabular_sarsa,proxy_Q_advantage,-0.001411,0.00992,-0.278871,0.780344
reversal,neural_dqn_vs_tabular_sarsa,reward,0.0,0.0,0.0,1.0
reversal,neural_dqn_vs_tabular_sarsa,goal_rate,0.0,0.0,0.0,1.0
reversal,neural_dqn_vs_tabular_sarsa,abs_proxy_dependence,-0.140009,0.113869,-2.409947,0.015955
reversal,neural_dqn_vs_tabular_sarsa,proxy_dependence,-0.05969,0.157095,-0.744727,0.456437
reversal,neural_dqn_vs_tabular_sarsa,proxy_action_rate,-0.102867,0.13602,-1.48228,0.138266
reversal,neural_dqn_vs_tabular_sarsa,proxy_Q_advantage,0.001286,0.009994,0.252181,0.800901
extinction,neural_dqn_vs_tabular_sarsa,reward,0.0,0.0,0.0,1.0
extinction,neural_dqn_vs_tabular_sarsa,goal_rate,0.0,0.0,0.0,1.0
extinction,neural_dqn_vs_tabular_sarsa,abs_proxy_dependence,-0.036632,0.169204,-0.424329,0.671326
extinction,neural_dqn_vs_tabular_sarsa,proxy_dependence,0.241121,0.195949,2.411832,0.015873
extinction,neural_dqn_vs_tabular_sarsa,proxy_action_rate,-0.020533,0.125822,-0.319859,0.749075
extinction,neural_dqn_vs_tabular_sarsa,proxy_Q_advantage,-0.00171,0.006169,-0.543359,0.586882
persistence,neural_dqn_vs_tabular_sarsa,reversal_adaptation_half_life,-120.0,154.507712,-1.522254,0.127945
persistence,neural_dqn_vs_tabular_sarsa,extinction_half_life,-353.333333,188.902609,-3.666087,0.000246
persistence,neural_dqn_vs_tabular_sarsa,superstition_persistence_index,-0.967066,0.629714,-3.010016,0.002612
acquisition,neural_dqn_vs_linear_dqn,reward,0.0,0.0,0.0,1.0
acquisition,neural_dqn_vs_linear_dqn,goal_rate,0.0,0.0,0.0,1.0
acquisition,neural_dqn_vs_linear_dqn,abs_proxy_dependence,-0.660502,0.152392,-8.495118,0.0
acquisition,neural_dqn_vs_linear_dqn,proxy_dependence,-0.878142,0.173801,-9.903037,0.0
acquisition,neural_dqn_vs_linear_dqn,proxy_action_rate,0.072433,0.265331,0.535066,0.592605
acquisition,neural_dqn_vs_linear_dqn,proxy_Q_advantage,-0.002343,0.011305,-0.406178,0.684612
reversal,neural_dqn_vs_linear_dqn,reward,0.0,0.0,0.0,1.0
reversal,neural_dqn_vs_linear_dqn,goal_rate,0.0,0.0,0.0,1.0
reversal,neural_dqn_vs_linear_dqn,abs_proxy_dependence,-0.848631,0.125253,-13.27971,0.0
reversal,neural_dqn_vs_linear_dqn,proxy_dependence,0.848631,0.125253,13.27971,0.0
reversal,neural_dqn_vs_linear_dqn,proxy_action_rate,-0.09,0.042837,-4.117922,3.8e-05
reversal,neural_dqn_vs_linear_dqn,proxy_Q_advantage,-0.008086,0.013897,-1.140417,0.254113
extinction,neural_dqn_vs_linear_dqn,reward,0.0,0.0,0.0,1.0
extinction,neural_dqn_vs_linear_dqn,goal_rate,0.0,0.0,0.0,1.0
extinction,neural_dqn_vs_linear_dqn,abs_proxy_dependence,-0.594057,0.137681,-8.456855,0.0
extinction,neural_dqn_vs_linear_dqn,proxy_dependence,0.842737,0.198561,8.31867,0.0
extinction,neural_dqn_vs_linear_dqn,proxy_action_rate,0.0602,0.169598,0.695717,0.486606
extinction,neural_dqn_vs_linear_dqn,proxy_Q_advantage,0.003396,0.003858,1.72568,0.084405
persistence,neural_dqn_vs_linear_dqn,reversal_adaptation_half_life,-379.9,104.484506,-7.126454,0.0
persistence,neural_dqn_vs_linear_dqn,extinction_half_life,-620.0,276.105809,-4.401211,1.1e-05
persistence,neural_dqn_vs_linear_dqn,superstition_persistence_index,-0.446472,0.154213,-5.674513,0.0
acquisition,recurrent_dqn_vs_neural_dqn,reward,0.0,0.0,0.0,1.0
acquisition,recurrent_dqn_vs_neural_dqn,goal_rate,0.0,0.0,0.0,1.0
acquisition,recurrent_dqn_vs_neural_dqn,abs_proxy_dependence,0.160974,0.183934,1.715346,0.086282
acquisition,recurrent_dqn_vs_neural_dqn,proxy_dependence,0.262436,0.394926,1.30246,0.192759
acquisition,recurrent_dqn_vs_neural_dqn,proxy_action_rate,-0.003367,0.151253,-0.043627,0.965202
acquisition,recurrent_dqn_vs_neural_dqn,proxy_Q_advantage,0.002641,0.007887,0.656192,0.5117
reversal,recurrent_dqn_vs_neural_dqn,reward,0.0,0.0,0.0,1.0
reversal,recurrent_dqn_vs_neural_dqn,goal_rate,0.0,0.0,0.0,1.0
reversal,recurrent_dqn_vs_neural_dqn,abs_proxy_dependence,0.323978,0.206317,3.07777,0.002086
reversal,recurrent_dqn_vs_neural_dqn,proxy_dependence,0.032849,0.312496,0.20603,0.836768
reversal,recurrent_dqn_vs_neural_dqn,proxy_action_rate,0.1476,0.096573,2.995629,0.002739
reversal,recurrent_dqn_vs_neural_dqn,proxy_Q_advantage,0.004369,0.002887,2.965677,0.00302
extinction,recurrent_dqn_vs_neural_dqn,reward,0.0,0.0,0.0,1.0
extinction,recurrent_dqn_vs_neural_dqn,goal_rate,0.0,0.0,0.0,1.0
extinction,recurrent_dqn_vs_neural_dqn,abs_proxy_dependence,0.162172,0.174901,1.817353,0.069163
extinction,recurrent_dqn_vs_neural_dqn,proxy_dependence,-0.136139,0.18548,-1.438607,0.150262
extinction,recurrent_dqn_vs_neural_dqn,proxy_action_rate,-0.0012,0.122655,-0.019177,0.9847
extinction,recurrent_dqn_vs_neural_dqn,proxy_Q_advantage,-0.000256,0.004232,-0.118696,0.905517
persistence,recurrent_dqn_vs_neural_dqn,reversal_adaptation_half_life,480.122222,403.681912,2.331141,0.019746
persistence,recurrent_dqn_vs_neural_dqn,extinction_half_life,200.0,192.927021,2.031856,0.042168
persistence,recurrent_dqn_vs_neural_dqn,superstition_persistence_index,0.380091,0.403568,1.84598,0.064895
acquisition_vs_random,tabular_sarsa,reward,0.372667,0.02116,34.518783,0.0
acquisition_vs_random,tabular_sarsa,goal_rate,0.372667,0.02116,34.518783,0.0
reversal_vs_random,tabular_sarsa,reward,0.369667,0.021472,33.743971,0.0
reversal_vs_random,tabular_sarsa,goal_rate,0.369667,0.021472,33.743971,0.0
extinction_vs_random,tabular_sarsa,reward,0.380333,0.017704,42.105474,0.0
extinction_vs_random,tabular_sarsa,goal_rate,0.380333,0.017704,42.105474,0.0
acquisition_vs_random,linear_dqn,reward,0.372667,0.02116,34.518783,0.0
acquisition_vs_random,linear_dqn,goal_rate,0.372667,0.02116,34.518783,0.0
reversal_vs_random,linear_dqn,reward,0.369667,0.021472,33.743971,0.0
reversal_vs_random,linear_dqn,goal_rate,0.369667,0.021472,33.743971,0.0
extinction_vs_random,linear_dqn,reward,0.380333,0.017704,42.105474,0.0
extinction_vs_random,linear_dqn,goal_rate,0.380333,0.017704,42.105474,0.0
acquisition_vs_random,neural_dqn,reward,0.372667,0.02116,34.518783,0.0
acquisition_vs_random,neural_dqn,goal_rate,0.372667,0.02116,34.518783,0.0
reversal_vs_random,neural_dqn,reward,0.369667,0.021472,33.743971,0.0
reversal_vs_random,neural_dqn,goal_rate,0.369667,0.021472,33.743971,0.0
extinction_vs_random,neural_dqn,reward,0.380333,0.017704,42.105474,0.0
extinction_vs_random,neural_dqn,goal_rate,0.380333,0.017704,42.105474,0.0
acquisition_vs_random,recurrent_dqn,reward,0.372667,0.02116,34.518783,0.0
acquisition_vs_random,recurrent_dqn,goal_rate,0.372667,0.02116,34.518783,0.0
reversal_vs_random,recurrent_dqn,reward,0.369667,0.021472,33.743971,0.0
reversal_vs_random,recurrent_dqn,goal_rate,0.369667,0.021472,33.743971,0.0
extinction_vs_random,recurrent_dqn,reward,0.380333,0.017704,42.105474,0.0
extinction_vs_random,recurrent_dqn,goal_rate,0.380333,0.017704,42.105474,0.0
