agent_type,seed,acquisition_proxy_dependence_final,reversal_proxy_dependence_initial,reversal_proxy_dependence_final,extinction_proxy_dependence_initial,extinction_proxy_dependence_final,reversal_adaptation_half_life,extinction_half_life,superstition_persistence_index
tabular_sarsa,0,-0.29772,-0.195291,0.09562,0.095204,0.005261,200,200,0.796238
tabular_sarsa,1,-0.103531,-0.200938,-0.003963,-0.003086,-0.089003,100,-1,1.144029
tabular_sarsa,2,-0.203557,-0.203088,0.094713,0.097683,0.001689,300,800,0.731825
tabular_sarsa,3,-0.102672,-0.098361,-0.098498,-0.104442,-0.40213,800,800,2.587289
tabular_sarsa,4,-0.197975,-0.108066,-0.102108,-0.084937,-0.313922,100,400,0.751734
tabular_sarsa,5,0.096684,0.300006,0.493946,0.478648,0.115277,100,400,3.284542
tabular_sarsa,6,0.006997,-0.00229,0.108759,0.088667,-0.202614,1,200,
tabular_sarsa,7,0.103205,0.09065,-0.197635,-0.198978,-0.104948,200,200,1.472962
tabular_sarsa,8,0.39726,0.401786,-0.304502,-0.29524,-0.276145,400,200,0.500631
tabular_sarsa,9,0.206755,0.192417,0.205461,0.206703,0.098733,200,700,0.998715
linear_dqn,0,0.798635,0.799861,-0.897917,-0.789826,-0.496021,500,-1,0.775313
linear_dqn,1,0.896643,0.898142,-1.0,-1.0,-0.597065,400,-1,0.747096
linear_dqn,2,1.0,1.0,-0.700817,-0.700922,-0.609626,300,-1,0.622523
linear_dqn,3,0.901141,0.899661,-1.0,-1.0,-0.808256,500,1100,0.889199
linear_dqn,4,0.698925,0.702778,-0.69682,-0.701564,-0.594378,700,-1,0.810431
linear_dqn,5,0.698654,0.69723,-1.0,-1.0,-0.703776,700,500,1.218675
linear_dqn,6,0.797688,0.797668,-0.692998,-0.706,-0.79807,500,-1,0.730614
linear_dqn,7,0.798103,0.799387,-1.0,-1.0,-0.90081,600,600,1.062571
linear_dqn,8,1.0,1.0,-1.0,-1.0,-0.777552,400,600,0.881293
linear_dqn,9,0.905242,0.900919,-0.802872,-0.811921,-0.898417,400,-1,0.687423
neural_dqn,0,-0.399922,-0.40097,0.0,0.0,0.0,200,0,0.550796
neural_dqn,1,-0.392645,-0.192316,0.0,0.0,0.0,1,0,0.219928
neural_dqn,2,0.0,0.0,-0.300923,-0.197706,0.094002,0,300,
neural_dqn,3,0.098057,0.106341,0.0,0.0,0.0,200,0,0.535801
neural_dqn,4,-0.295635,-0.298077,-0.001779,0.101765,0.0,300,100,0.400908
neural_dqn,5,0.204213,0.200528,0.0,-0.103974,0.0,100,300,0.504748
neural_dqn,6,0.397399,0.397805,0.0,0.0,0.708844,200,0,0.209622
neural_dqn,7,0.0,0.0,0.0,0.0,0.386034,0,0,
neural_dqn,8,0.001334,-0.107391,-0.002408,-0.003734,0.054524,100,100,
neural_dqn,9,0.100806,0.099738,0.0,0.0,0.0,100,0,0.350487
recurrent_dqn,0,0.878996,0.857795,-0.749306,0.109882,-0.780063,100,200,0.223709
recurrent_dqn,1,0.180328,0.072522,0.677675,0.244674,0.297454,1,100,1.363106
recurrent_dqn,2,0.792401,0.563356,0.205955,0.470004,-0.03099,400,200,0.412868
recurrent_dqn,3,-0.007032,-0.17377,0.08394,0.218051,-0.139048,1200,800,
recurrent_dqn,4,0.615069,0.698237,-0.210993,0.348587,-0.073753,200,100,0.287637
recurrent_dqn,5,0.201249,0.188816,0.411766,-0.126566,-0.139761,1400,200,0.620467
recurrent_dqn,6,-0.548164,-0.431608,0.007442,0.158,0.841188,600,100,0.484874
recurrent_dqn,7,0.121519,-0.064964,0.0,0.0,0.073211,1500,0,1.032995
recurrent_dqn,8,-0.025698,-0.280808,0.397355,0.367437,0.161717,-1,300,
recurrent_dqn,9,0.129299,-0.051629,-0.800457,-0.219414,-0.32794,1,800,1.783405
