agent_type,phase,checkpoint,n,reward_mean,reward_ci95,goal_rate_mean,goal_rate_ci95,SPI_mean,SPI_ci95,CDS_mean,CDS_ci95,causal_action_rate_mean,causal_action_rate_ci95,proxy_action_rate_mean,proxy_action_rate_ci95,neutral_action_rate_mean,neutral_action_rate_ci95,Q_causal_mean,Q_causal_ci95,Q_proxy_mean,Q_proxy_ci95,Q_neutral_mean_mean,Q_neutral_mean_ci95,proxy_Q_advantage_mean,proxy_Q_advantage_ci95,proxy_vs_causal_Q_mean,proxy_vs_causal_Q_ci95,proxy_dependence_mean,proxy_dependence_ci95,abs_proxy_dependence_mean,abs_proxy_dependence_ci95,proxy_action_dependence_mean,proxy_action_dependence_ci95
tabular_sarsa,acquisition,final,10,0.475667,0.02116,0.497667,0.02116,0.745134,0.083694,0.750133,0.000845,0.254866,0.083694,0.2525,0.054318,0.492633,0.105081,0.278046,0.006691,0.278465,0.007718,0.278999,0.007019,-0.000535,0.007176,0.000419,0.006247,-0.009455,0.132329,0.171636,0.070533,-0.090534,0.125231
tabular_sarsa,reversal,final,10,0.479,0.021472,0.501,0.021472,0.706833,0.054844,0.749691,0.001153,0.293167,0.054844,0.2256,0.057119,0.481233,0.083247,0.290873,0.010483,0.288014,0.013832,0.289852,0.014696,-0.001838,0.009855,-0.002859,0.009164,0.029179,0.140056,0.17052,0.086992,0.006543,0.130647
tabular_sarsa,extinction,final,10,0.481667,0.017704,0.503667,0.017704,0.739167,0.045026,0.750213,0.002255,0.260833,0.045026,0.2514,0.053643,0.487767,0.054261,0.279423,0.016186,0.281848,0.014607,0.280171,0.010701,0.001677,0.006415,0.002426,0.011811,-0.11678,0.109945,0.160972,0.082756,0.094602,0.084153
linear_dqn,acquisition,final,10,0.475667,0.02116,0.497667,0.02116,0.577533,0.030361,0.766218,0.000893,0.422467,0.030361,0.2004,0.089664,0.377133,0.091873,0.316434,0.011809,0.410741,0.009523,0.410345,0.009116,0.000397,0.002102,0.094307,0.005611,0.849503,0.067467,0.849503,0.067467,-0.350451,0.134871
linear_dqn,reversal,final,10,0.479,0.021472,0.501,0.021472,0.5637,0.038009,0.761116,0.000974,0.4363,0.038009,0.212733,0.102238,0.350967,0.08931,0.362665,0.010848,0.433925,0.011702,0.426392,0.011534,0.007533,0.01267,0.07126,0.007688,-0.879142,0.087384,0.879142,0.087384,0.289947,0.278594
linear_dqn,extinction,final,10,0.481667,0.017704,0.503667,0.017704,0.6419,0.042603,0.757023,0.000987,0.3581,0.042603,0.170667,0.053873,0.471233,0.06017,0.313393,0.012306,0.349948,0.010956,0.353378,0.009593,-0.00343,0.002908,0.036556,0.005612,-0.718397,0.086478,0.718397,0.086478,0.080723,0.227904
neural_dqn,acquisition,final,10,0.475667,0.02116,0.497667,0.02116,0.714633,0.193434,0.749838,0.001902,0.285367,0.193434,0.272833,0.207927,0.4418,0.228997,0.438049,0.018765,0.435922,0.016824,0.437868,0.013784,-0.001946,0.010795,-0.002127,0.011419,-0.028639,0.16172,0.189001,0.106094,-0.030649,0.165198
neural_dqn,reversal,final,10,0.479,0.021472,0.501,0.021472,0.694333,0.27892,0.750935,0.001628,0.305667,0.27892,0.122733,0.088601,0.5716,0.240425,0.404834,0.015382,0.409506,0.011997,0.410058,0.012306,-0.000553,0.001883,0.004672,0.007845,-0.030511,0.058892,0.030511,0.058892,-0.007839,0.104839
neural_dqn,extinction,final,10,0.481667,0.017704,0.503667,0.017704,0.704067,0.233623,0.749888,0.001225,0.295933,0.233623,0.230867,0.132715,0.4732,0.189182,0.415473,0.021189,0.414877,0.018991,0.414911,0.018499,-3.3e-05,0.002469,-0.000595,0.006695,0.12434,0.147353,0.12434,0.147353,-0.079366,0.064251
recurrent_dqn,acquisition,final,10,0.475667,0.02116,0.497667,0.02116,0.759033,0.099043,0.750748,0.000725,0.240967,0.099043,0.269467,0.140328,0.489567,0.19312,0.414716,0.014799,0.419186,0.01743,0.418492,0.014113,0.000695,0.005661,0.004471,0.004482,0.233797,0.264413,0.349975,0.202398,-0.366606,0.252903
recurrent_dqn,reversal,final,10,0.479,0.021472,0.501,0.021472,0.508333,0.16398,0.749796,0.002099,0.491667,0.16398,0.270333,0.096385,0.238,0.135642,0.490408,0.017362,0.492017,0.012682,0.488201,0.013065,0.003816,0.00221,0.001609,0.011295,0.002338,0.298171,0.354489,0.187802,0.144026,0.312875
recurrent_dqn,extinction,final,10,0.481667,0.017704,0.503667,0.017704,0.640633,0.146401,0.750661,0.001793,0.359367,0.146401,0.229667,0.147536,0.410967,0.131855,0.47059,0.013731,0.474071,0.018366,0.474361,0.015389,-0.00029,0.004047,0.003481,0.011392,-0.011798,0.260311,0.286513,0.181058,0.064878,0.185942
