agent_type,feature_condition,seed,acquisition_proxy_dependence_final,reversal_proxy_dependence_final,extinction_proxy_dependence_initial,extinction_proxy_dependence_final,extinction_half_life,superstition_persistence_index
linear_dqn,full_raw_proxy,0,0.798635,-0.897917,-0.789826,-0.496021,-1,0.775313
linear_dqn,full_raw_proxy,1,0.896643,-1.0,-1.0,-0.597065,-1,0.747096
linear_dqn,full_raw_proxy,2,1.0,-0.700817,-0.700922,-0.609626,-1,0.622523
linear_dqn,full_raw_proxy,3,0.901141,-1.0,-1.0,-0.808256,1100,0.889199
linear_dqn,full_raw_proxy,4,0.698925,-0.69682,-0.701564,-0.594378,-1,0.810431
linear_dqn,full_raw_proxy,5,0.698654,-1.0,-1.0,-0.703776,500,1.218675
linear_dqn,full_raw_proxy,6,0.797688,-0.692998,-0.706,-0.79807,-1,0.730614
linear_dqn,full_raw_proxy,7,0.798103,-1.0,-1.0,-0.90081,600,1.062571
linear_dqn,full_raw_proxy,8,1.0,-1.0,-1.0,-0.777552,600,0.881293
linear_dqn,full_raw_proxy,9,0.905242,-0.802872,-0.811921,-0.898417,-1,0.687423
linear_dqn,proxy_interaction_only,0,0.100279,-0.193376,-0.189048,-0.301724,1100,2.353377
linear_dqn,proxy_interaction_only,1,0.391705,-0.400574,-0.398271,0.00414,900,0.730274
linear_dqn,proxy_interaction_only,2,0.204005,-0.194416,-0.198741,0.296543,700,1.164709
linear_dqn,proxy_interaction_only,3,0.402408,-0.296002,-0.312175,-0.297065,800,0.707577
linear_dqn,proxy_interaction_only,4,0.108007,-0.200404,-0.189787,0.088668,800,2.448145
linear_dqn,proxy_interaction_only,5,0.004417,-0.205346,-0.198182,0.000587,1000,
linear_dqn,proxy_interaction_only,6,0.196489,-0.107367,-0.098,-0.291771,700,1.25496
linear_dqn,proxy_interaction_only,7,0.302168,-0.202917,-0.193718,0.000368,800,0.875742
linear_dqn,proxy_interaction_only,8,0.30274,-0.20225,-0.196631,-0.105149,1100,0.773985
linear_dqn,proxy_interaction_only,9,0.198519,-0.20823,-0.202489,-0.193723,600,1.093267
neural_dqn,full_raw_proxy,0,-0.399922,0.0,0.0,0.0,0,0.550796
neural_dqn,full_raw_proxy,1,-0.392645,0.0,0.0,0.0,0,0.219928
neural_dqn,full_raw_proxy,2,0.0,-0.300923,-0.197706,0.094002,300,
neural_dqn,full_raw_proxy,3,0.098057,0.0,0.0,0.0,0,0.535801
neural_dqn,full_raw_proxy,4,-0.295635,-0.001779,0.101765,0.0,100,0.400908
neural_dqn,full_raw_proxy,5,0.204213,0.0,-0.103974,0.0,300,0.504748
neural_dqn,full_raw_proxy,6,0.397399,0.0,0.0,0.708844,0,0.209622
neural_dqn,full_raw_proxy,7,0.0,0.0,0.0,0.386034,0,
neural_dqn,full_raw_proxy,8,0.001334,-0.002408,-0.003734,0.054524,100,
neural_dqn,full_raw_proxy,9,0.100806,0.0,0.0,0.0,0,0.350487
neural_dqn,proxy_interaction_only,0,-0.304235,0.0,0.0,0.0,0,0.276449
neural_dqn,proxy_interaction_only,1,0.309632,0.306161,0.09893,0.0,200,0.266379
neural_dqn,proxy_interaction_only,2,0.0,0.301251,0.206963,0.405585,300,
neural_dqn,proxy_interaction_only,3,-0.199719,0.000152,0.0,0.0,0,0.862579
neural_dqn,proxy_interaction_only,4,0.400804,-0.099685,-0.193591,0.0,100,0.204766
neural_dqn,proxy_interaction_only,5,0.0,0.0,0.0,0.095628,0,
neural_dqn,proxy_interaction_only,6,0.006149,0.0,0.0,-0.013078,0,
neural_dqn,proxy_interaction_only,7,0.0,0.0,0.0,0.0,0,
neural_dqn,proxy_interaction_only,8,-0.19791,0.0,0.0,6.4e-05,0,0.33217
neural_dqn,proxy_interaction_only,9,0.0,0.0,0.0,0.184697,0,
