agent_type,feature_condition,phase,checkpoint,n,reward_mean,reward_ci95,goal_rate_mean,goal_rate_ci95,SPI_mean,SPI_ci95,CDS_mean,CDS_ci95,causal_action_rate_mean,causal_action_rate_ci95,proxy_action_rate_mean,proxy_action_rate_ci95,neutral_action_rate_mean,neutral_action_rate_ci95,Q_causal_mean,Q_causal_ci95,Q_proxy_mean,Q_proxy_ci95,Q_neutral_mean_mean,Q_neutral_mean_ci95,proxy_Q_advantage_mean,proxy_Q_advantage_ci95,proxy_vs_causal_Q_mean,proxy_vs_causal_Q_ci95,proxy_dependence_mean,proxy_dependence_ci95,abs_proxy_dependence_mean,abs_proxy_dependence_ci95,proxy_action_dependence_mean,proxy_action_dependence_ci95
linear_dqn,full_raw_proxy,acquisition,final,10,0.475667,0.02116,0.497667,0.02116,0.577533,0.030361,0.766218,0.000893,0.422467,0.030361,0.2004,0.089664,0.377133,0.091873,0.316434,0.011809,0.410741,0.009523,0.410345,0.009116,0.000397,0.002102,0.094307,0.005611,0.849503,0.067467,0.849503,0.067467,-0.350451,0.134871
linear_dqn,full_raw_proxy,reversal,final,10,0.479,0.021472,0.501,0.021472,0.5637,0.038009,0.761116,0.000974,0.4363,0.038009,0.212733,0.102238,0.350967,0.08931,0.362665,0.010848,0.433925,0.011702,0.426392,0.011534,0.007533,0.01267,0.07126,0.007688,-0.879142,0.087384,0.879142,0.087384,0.289947,0.278594
linear_dqn,full_raw_proxy,extinction,final,10,0.481667,0.017704,0.503667,0.017704,0.6419,0.042603,0.757023,0.000987,0.3581,0.042603,0.170667,0.053873,0.471233,0.06017,0.313393,0.012306,0.349948,0.010956,0.353378,0.009593,-0.00343,0.002908,0.036556,0.005612,-0.718397,0.086478,0.718397,0.086478,0.080723,0.227904
linear_dqn,proxy_interaction_only,acquisition,final,10,0.475667,0.02116,0.497667,0.02116,0.7617,0.046971,0.751881,0.000671,0.2383,0.046971,0.293267,0.093281,0.468433,0.061359,0.391304,0.010893,0.40404,0.007263,0.402919,0.008395,0.001121,0.003036,0.012736,0.004666,0.221074,0.080273,0.221074,0.080273,-0.229894,0.268258
linear_dqn,proxy_interaction_only,reversal,final,10,0.479,0.021472,0.501,0.021472,0.711033,0.027033,0.761748,0.000822,0.288967,0.027033,0.246967,0.074961,0.464067,0.067746,0.323404,0.011056,0.395791,0.013244,0.393196,0.009925,0.002595,0.009901,0.072388,0.008947,-0.221088,0.047905,0.221088,0.047905,-0.077677,0.167692
linear_dqn,proxy_interaction_only,extinction,final,10,0.481667,0.017704,0.503667,0.017704,0.6667,0.074912,0.750107,0.000914,0.3333,0.074912,0.1365,0.074127,0.5302,0.110445,0.356903,0.010832,0.35165,0.009946,0.360416,0.008874,-0.008766,0.00842,-0.005253,0.009804,-0.079913,0.121344,0.157974,0.08245,0.053432,0.134891
neural_dqn,full_raw_proxy,acquisition,final,10,0.475667,0.02116,0.497667,0.02116,0.714633,0.193434,0.749838,0.001902,0.285367,0.193434,0.272833,0.207927,0.4418,0.228997,0.438049,0.018765,0.435922,0.016824,0.437868,0.013784,-0.001946,0.010795,-0.002127,0.011419,-0.028639,0.16172,0.189001,0.106094,-0.030649,0.165198
neural_dqn,full_raw_proxy,reversal,final,10,0.479,0.021472,0.501,0.021472,0.694333,0.27892,0.750935,0.001628,0.305667,0.27892,0.122733,0.088601,0.5716,0.240425,0.404834,0.015382,0.409506,0.011997,0.410058,0.012306,-0.000553,0.001883,0.004672,0.007845,-0.030511,0.058892,0.030511,0.058892,-0.007839,0.104839
neural_dqn,full_raw_proxy,extinction,final,10,0.481667,0.017704,0.503667,0.017704,0.704067,0.233623,0.749888,0.001225,0.295933,0.233623,0.230867,0.132715,0.4732,0.189182,0.415473,0.021189,0.414877,0.018991,0.414911,0.018499,-3.3e-05,0.002469,-0.000595,0.006695,0.12434,0.147353,0.12434,0.147353,-0.079366,0.064251
neural_dqn,proxy_interaction_only,acquisition,final,10,0.475667,0.02116,0.497667,0.02116,0.809433,0.12587,0.750417,0.001321,0.190567,0.12587,0.243867,0.169164,0.565567,0.188846,0.427071,0.012768,0.427828,0.013931,0.430014,0.010384,-0.002186,0.010094,0.000757,0.010511,0.001472,0.135186,0.141845,0.098428,0.06051,0.214001
neural_dqn,proxy_interaction_only,reversal,final,10,0.479,0.021472,0.501,0.021472,0.665467,0.271282,0.750342,0.001322,0.334533,0.271282,0.2155,0.18122,0.449967,0.23797,0.405613,0.014256,0.407325,0.011053,0.407537,0.010609,-0.000212,0.002136,0.001712,0.007427,0.050788,0.08484,0.070725,0.07851,0.062088,0.11047
neural_dqn,proxy_interaction_only,extinction,final,10,0.481667,0.017704,0.503667,0.017704,0.766267,0.207342,0.750614,0.001043,0.233733,0.207342,0.2841,0.153938,0.482167,0.15903,0.40667,0.020057,0.410164,0.018055,0.409874,0.018457,0.00029,0.001736,0.003494,0.006032,0.06729,0.083322,0.069905,0.082398,0.086129,0.103793
