phase,seed,random_reward,random_goal_rate
acquisition,0,0.098,0.12
reversal,0,0.118,0.14
extinction,0,0.101333,0.123333
acquisition,1,0.108,0.13
reversal,1,0.091333,0.113333
extinction,1,0.098,0.12
acquisition,2,0.088,0.11
reversal,2,0.111333,0.133333
extinction,2,0.088,0.11
acquisition,3,0.098,0.12
reversal,3,0.088,0.11
extinction,3,0.128,0.15
acquisition,4,0.068,0.09
reversal,4,0.101333,0.123333
extinction,4,0.111333,0.133333
acquisition,5,0.121333,0.143333
reversal,5,0.138,0.16
extinction,5,0.068,0.09
acquisition,6,0.108,0.13
reversal,6,0.114667,0.136667
extinction,6,0.118,0.14
acquisition,7,0.131333,0.153333
reversal,7,0.124667,0.146667
extinction,7,0.128,0.15
acquisition,8,0.098,0.12
reversal,8,0.104667,0.126667
extinction,8,0.091333,0.113333
acquisition,9,0.111333,0.133333
reversal,9,0.101333,0.123333
extinction,9,0.081333,0.103333
