group,condition,x_value,x_label,n,mean_reward,reward_ci95,goal_rate,goal_rate_ci95,cds_mean,cds_ci95,spi_mean,spi_ci95
sparsity,sparsity_1.0,0.0,reward_sparse_prob=1.0,30,0.82,0.0,1.0,0.0,0.039087,0.030792,0.3,0.166789
sparsity,sparsity_0.7,0.3,reward_sparse_prob=0.7,30,0.517778,0.030681,1.0,0.0,0.060194,0.033266,0.533333,0.181577
sparsity,sparsity_0.5,0.5,reward_sparse_prob=0.5,30,0.100222,0.256265,0.9,0.109189,0.055948,0.029386,0.466667,0.181577
sparsity,sparsity_0.3,0.7,reward_sparse_prob=0.3,30,-0.089778,0.233478,0.9,0.109189,0.067288,0.039514,0.433333,0.180357
sparsity,sparsity_0.1,0.9,reward_sparse_prob=0.1,30,-0.137333,0.1273,0.966667,0.065333,0.069489,0.039069,0.566667,0.180357
delay,delay_0,0.0,delay=0,30,0.82,0.0,1.0,0.0,0.039087,0.030792,0.3,0.166789
delay,delay_1,1.0,delay=1,30,0.82,0.0,1.0,0.0,0.061118,0.038712,0.433333,0.180357
delay,delay_3,3.0,delay=3,30,0.35,0.382507,0.833333,0.135641,0.068991,0.064271,0.366667,0.175392
delay,delay_6,6.0,delay=6,30,-0.026,0.470344,0.7,0.166789,0.106754,0.088883,0.4,0.178305
delay,delay_10,10.0,delay=10,30,-0.026,0.470344,0.7,0.166789,0.060272,0.066126,0.3,0.166789
noise,noise_0.0,0.0,noise=0.0,30,0.82,0.0,1.0,0.0,0.039087,0.030792,0.3,0.166789
noise,noise_0.05,0.05,noise=0.05,30,0.760544,0.068989,0.995556,0.006815,0.061818,0.034613,0.5,0.181981
noise,noise_0.1,0.1,noise=0.1,30,0.762733,0.042463,0.997778,0.003026,0.052398,0.025472,0.533333,0.181577
noise,noise_0.2,0.2,noise=0.2,30,0.656422,0.052018,0.996667,0.006533,0.055547,0.044944,0.398851,0.177806
noise,noise_0.3,0.3,noise=0.3,30,0.482056,0.072352,0.99,0.008376,0.042559,0.034915,0.233333,0.153939
combined,very_low,0.0,very_low,30,0.82,0.0,1.0,0.0,0.039087,0.030792,0.3,0.166789
combined,low,0.255556,low,30,0.326867,0.111485,0.988889,0.012266,0.04681,0.030759,0.333004,0.171405
combined,medium,0.566667,medium,30,-0.2822,0.242447,0.875556,0.105855,0.0587,0.037559,0.433276,0.180333
combined,high,0.817778,high,30,-0.956044,0.267105,0.635556,0.15508,0.037831,0.029243,0.291667,0.16291
combined,very_high,0.966667,very_high,30,-1.290389,0.237167,0.477778,0.155377,0.109717,0.078945,0.317616,0.16456
